Rank,Artist,Title
148,Chris Brown,Under The Influence
149,Don Omar,Anda Sola
150,Omah Lay,soso
151,Billy Idol,Eyes Without a Face
152,Eminem,Mockingbird
153,Lana Del Rey,Summertime Sadness
154,Metro Boomin & Future,Too Many Nights (feat. Don Toliver)
155,Superheaven,Youngest Daughter
156,Yng Lvcas & Peso Pluma,La Bebe (Remix)
157,"Iyanya, Mayorkun & Tekno",One Side (Remix)
158,Mae Stephens,If We Ever Broke Up
159,Lewis Capaldi,Someone You Loved
160,Byron Messia,Talibans
161,Taylor Swift,seven
162,Lah Pat & Flo Milli,Rodeo (Remix)
163,Diamond Platnumz,My Baby (feat. Chike)
164,Glass Animals,Heat Waves
165,Sinéad O'Connor,Nothing Compares 2 U
166,"Metro Boomin, Travis Scott & Young Thug",Trance
167,"Bad Gyal, Tokischa & Young Miko",Chulo pt.2 (Pt.2)
168,Bruno Mars,That's What I Like
169,Taylor Swift,cardigan
170,AYLIVA,Aber sie
171,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
172,OneRepublic,I Ain't Worried
173,Becky G.,Arranca (feat. Omega)
174,Passenger,Let Her Go
175,M83,Midnight City
176,Lord Huron,The Night We Met
177,Ricchi & Poveri,Sarà Perché Ti Amo
178,DENNIS & MC Kevin O Chris,Tá OK
179,Summer Walker & NO1-NOAH,White Tee
180,Lana Del Rey,Say Yes To Heaven
181,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton)
182,Ирина Кайратовна,Чина
183,Creeds,Push Up
184,Ozzy Osbourne,No More Tears
185,KCee,Ojapiano
186,Harry Styles,Satellite
187,The Irrepressibles,In This Shirt
188,Tame Impala,Let It Happen
189,MC Levin,Sua Amiga Vou Sarrar
190,Charli XCX,Speed Drive
191,Young Miko,wiggy
192,The Weeknd,Blinding Lights
193,ROSALÍA & Rauw Alejandro,BESO
194,Akon,Lonely
195,Splash,Peacock
196,"De Mthuda, Da Muziqal Chef & Eemoh",Sgudi Snyc
197,James Carr,The Dark End of the Street
198,Bakar,Hell N Back
199,OneRepublic,Counting Stars
200,Feid & Young Miko,Classy 101
