Rank,Artist,Title
152,Metro Boomin & Future,Too Many Nights (feat. Don Toliver)
153,James Arthur,Car's Outside
154,"Metro Boomin, A$AP Rocky & Roisee",Am I Dreaming
155,Joezi,7 Seconds (feat. Coco & Pape Diouf)
156,Lewis Capaldi,Wish You The Best
157,"R3HAB, Inna & Sash!",Rock My Body
158,Morgan Wallen,Last Night
159,Perfume Genius,Can't Help Falling In Love
160,Travis Scott,I KNOW ?
161,Glass Animals,Heat Waves
162,Bruno Mars,That's What I Like
163,VOJ & Narvent,Memory Reboot
164,Lewis Capaldi,Someone You Loved
165,Ирина Кайратовна,Чина
166,Eslabon Armado & Peso Pluma,Ella Baila Sola
167,LIM KIM,Confess To You
168,Stefflon Don & Bnxn,What's Poppin
169,Odetari & 9lives,I LOVE YOU HOE
170,Ricchi & Poveri,Sarà Perché Ti Amo
171,Billie Eilish,hotline (edit)
172,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
173,Beastie Boys,No Sleep Till Brooklyn
174,M83,Midnight City
175,JIN,The Astronaut
176,Lost Frequencies,The Feeling
177,Lord Huron,The Night We Met
178,The Head and the Heart,Tiebreaker
179,The Irrepressibles,In This Shirt
180,"Bad Gyal, Tokischa & Young Miko",Chulo pt.2 (Pt.2)
181,VOJ & Narvent,Memory Reboot (Over Slowed)
182,L'morphine,L'morphiniya 7
183,RAYE & 070 Shake,Escapism.
184,Iggy Pop,Candy
185,Billy Idol,Eyes Without a Face
186,Victor Thompson,THIS YEAR (Blessings) [feat. Ehis 'D' Greatest]
187,Becky G.,Arranca (feat. Omega)
188,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton)
189,"Kali Uchis, El Alfa & JT",Muñekita
190,The Weeknd,Blinding Lights
191,Grupo Frontera & Grupo Firme,EL AMOR DE SU VIDA
192,Summer Walker & NO1-NOAH,White Tee
193,Foreigner,I Want To Know What Love Is (Live)
194,Lana Del Rey,Say Yes To Heaven
195,OneRepublic,I Ain't Worried
196,Francis Lai & Christian Gaubert,"La leçon particulière (Bande originale du film La leçon particulière"")"""
197,a-ha,Take On Me
198,DYSTINCT,Business (feat. Naza)
199,Taylor Swift,cardigan
200,Lana Del Rey,Radio
