Rank,Artist,Title
61,"Travis Scott, Bad Bunny & The Weeknd",K-POP
62,CamelPhat & Elderbrook,Cola
63,"King Serenity, Locko & Sergio Alejandro",All for U (Ameyatchi)
64,"Metro Boomin, The Weeknd & Diddy",Creepin' (Remix) [feat. 21 Savage]
65,Libianca,People
66,Khaid,Anabella
67,Iniko,Jericho
68,LIM KIM,Confess To You (Inst.)
69,Saad Lamjarred & Shreya Ghoshal,Guli Mata (feat. Rajat Nagpal)
70,JIN,The Astronaut
71,uLazi,yey (feat. Infinity MusiQ)
72,David Guetta & Bebe Rexha,I'm Good (Blue)
73,By Индия & The Limba,money
74,Camila Cabello,Shameless
75,Keane,Somewhere Only We Know
76,George Michael,Careless Whisper
77,INSTASAMKA,Отключаю телефон
78,Rihanna,Diamonds
79,Harry Styles,As It Was
80,Daddy Yankee,Gasolina
81,Post Malone,Chemical
82,KAROL G & Shakira,TQG
83,Don Omar & Lucenzo,Danza Kuduro (feat. Lucenzo)
84,Akon,Right Now (Na Na Na)
85,Travis Scott,MELTDOWN (feat. Drake)
86,Bad Bunny,WHERE SHE GOES
87,Lil Emm,Nwanyi Oma (sped up)
88,Davido,UNAVAILABLE (feat. Musa Keys)
89,Ed Sheeran,Perfect
90,Troye Sivan,Rush
91,King Promise,Terminator (feat. Young Jonn)
92,Rema,Charm
93,Crystal Castles,Kerosene
94,Morad,Se Grita (feat. Jul)
95,Aaron Smith,Dancin (feat. Luvli) [Krono Remix]
96,Gotye,Somebody That I Used to Know (feat. Kimbra)
97,Gala,Freed from Desire
98,"Usher, Summer Walker & 21 Savage",Good Good
99,Edward Maya & Vika Jigulina,Stereo Love
100,Aerosmith,Dream On
101,Puff Daddy,I'll Be Missing You (feat. Faith Evans & 112)
102,Ayo & Teo,Rolex
103,Sway Burr,Long Live Zach
104,JZyNO,Butta My Bread (feat. Lasmid)
105,Coolio,Gangsta's Paradise (feat. L.V.)
106,Stephen Sanchez,Until I Found You
107,P!nk,TRUSTFALL
108,Yeat,Nun id change
109,MC Levin,Sua Amiga Vou Sarrar
110,Ed Sheeran,Eyes Closed
111,OneRepublic,RUNAWAY
112,Grupo Frontera & Grupo Firme,EL AMOR DE SU VIDA
113,Rosa Linn,SNAP
114,Mary J. Blige,Family Affair
115,Kendrick Lamar,Money Trees (feat. Jay Rock)
116,Eminem,Without Me
117,Heuss L'enfoiré,Saiyan (feat. Gazo)
118,Quevedo,Columbia
119,Kylie Minogue,Padam Padam
120,Farruko,Pepas
121,"Sebastián Yatra, Manuel Turizo & Beéle",VAGABUNDO
122,L'morphine,L'morphiniya 7
123,The Weeknd,After Hours
124,Sia,Unstoppable
125,Miguel,Sure Thing
126,Yahritza Y Su Esencia & Grupo Frontera,Frágil
127,Wasia Project,ur so pretty
128,Alec Benjamin,Let Me Down Slowly
129,Lana Del Rey,Summertime Sadness
130,Haddaway,What Is Love
131,James Arthur,Car's Outside
132,Soolking & Gazo,Casanova
133,Diamond Platnumz,Shu! (feat. Chley)
134,Morgan Wallen,Last Night
135,Offset & Cardi B,JEALOUSY
136,SZA,Snooze
137,Lewis Capaldi,Wish You The Best
138,Billie Eilish,hotline (edit)
139,Russ,3:15 (Slowed Down + Reverb)
140,Tame Impala,Let It Happen
141,The Weeknd,Save Your Tears
142,"R3HAB, Inna & Sash!",Rock My Body
143,Omah Lay,soso
144,Chris Brown,Under The Influence
145,Eminem,Mockingbird
146,Xamdam Sobirov,Janze
147,Jux & Diamond Platnumz,Enjoy
148,"Jungeli, Imen Es & Alonzo",Petit génie (feat. Abou Debeing & Lossa)
149,Eslabon Armado & Peso Pluma,Ella Baila Sola
150,Shaggy,Boombastic
151,Passenger,Let Her Go
152,Ирина Кайратовна,Чина
153,Lewis Capaldi,Someone You Loved
154,Metro Boomin & Future,Too Many Nights (feat. Don Toliver)
155,Travis Scott,MY EYES
156,Asaf & Reaxys,Brazilian Danca Phonk
157,Yng Lvcas & Peso Pluma,La Bebe (Remix)
158,"Iyanya, Mayorkun & Tekno",One Side (Remix)
159,Glass Animals,Heat Waves
160,KCee,Ojapiano
161,Joezi,7 Seconds (feat. Coco & Pape Diouf)
162,M83,Midnight City
163,Ricchi & Poveri,Sarà Perché Ti Amo
164,Lah Pat & Flo Milli,Rodeo (Remix)
165,Billy Idol,Eyes Without a Face
166,Victor Thompson,THIS YEAR (Blessings) [feat. Ehis 'D' Greatest]
167,Francis Lai & Christian Gaubert,"La leçon particulière (Bande originale du film La leçon particulière"")"""
168,Aqua,Barbie Girl
169,VOJ & Narvent,Memory Reboot
170,"Bad Gyal, Tokischa & Young Miko",Chulo pt.2 (Pt.2)
171,The Goo Goo Dolls,Iris
172,The Weeknd,Blinding Lights
173,Feid & Young Miko,Classy 101
174,RAYE & 070 Shake,Escapism.
175,Lana Del Rey,Radio
176,DYSTINCT,Business (feat. Naza)
177,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
178,Lana Del Rey,Say Yes To Heaven
179,Young Nudy,Peaches & Eggplants (feat. 21 Savage)
180,AYLIVA,Aber sie
181,Lord Huron,The Night We Met
182,Stromae,Alors on danse
183,Bakar,Hell N Back
184,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
185,OneRepublic,I Ain't Worried
186,The Irrepressibles,In This Shirt
187,Becky G.,Arranca (feat. Omega)
188,Dj Stokie,"Awukhuzeki (feat. Omit ST, Sobzeen & ZEENHLE)"
189,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton)
190,JEY BROWNIE & FLEM KGB,GTB
191,Lost Frequencies,The Feeling
192,Taylor Swift,cardigan
193,Byron Messia,Talibans
194,a-ha,Take On Me
195,The Flaming Lips,Do You Realize??
196,DENNIS & MC Kevin O Chris,Tá OK
197,Swedish House Mafia & The Weeknd,Moth To A Flame
198,ROSALÍA & Rauw Alejandro,BESO
199,Summer Walker & NO1-NOAH,White Tee
200,4 Non Blondes,What's Up?
