Rank,Artist,Title
1,Peggy Gou,(It Goes Like) Nanana (Edit)
2,Jain,Makeba
3,Billie Eilish,"What Was I Made For? [From The Motion Picture Barbie""]"""
4,David Kushner,Daylight
5,The Weeknd & Madonna,Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]
6,Bibi Babydoll & Dj Brunin XM,Automotivo Bibi Fogosa
7,Loreen,Tattoo
8,Teya Dora,Džanum
9,Olivia Rodrigo,vampire
10,Gunna,fukumean
11,Rema,Calm Down
12,KALEO,Way Down We Go
13,Florence + the Machine,Dog Days Are Over
14,Dua Lipa,Dance The Night
15,Dave & Central Cee,Sprinter
16,Dj Belite,All Eyes on Me
17,Jung Kook & Latto,Seven
18,S3BZS,MONTAGEM - PR FUNK
19,NBSPLV,The Lost Soul Down
20,The Kolors,ITALODISCO
21,Nicki Minaj & Ice Spice,Barbie World (with Aqua) [From Barbie The Album]
22,Lil Durk,All My Life (feat. J. Cole)
23,Myke Towers,LALA
24,Miley Cyrus,Flowers
25,Kali Uchis,Moonlight
26,Tom Odell,Another Love
27,Radiohead,Creep (Acoustic)
28,Doja Cat,Paint The Town Red
29,Calvin Harris & Sam Smith,Desire
30,Purple Disco Machine & Kungs,Substitution (feat. Julian Perretta)
31,Doechii,What It Is (Block Boy) [feat. Kodak Black]
32,Manu Chao,Me Gustas Tu
33,Adil,Госпожа
34,"Vintazh, ТРАВМА, SKIDRI & Dvrklxght",Плохая Девочка
35,Spacehog,In the Meantime
36,Travis Scott,TELEKINESIS (feat. SZA & Future)
37,"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
38,Dr. Dre,The Next Episode (feat. Snoop Dogg)
39,Lady Gaga,Bloody Mary
40,Asake,Lonely At The Top
41,Taylor Swift,seven
42,Luke Combs,Fast Car
43,Travis Scott,I KNOW ?
44,Ayra Starr,Rush
45,Carin Leon,La Primera Cita
46,Tiësto,Lay Low
47,"twocolors, Safri Duo & Chris de Sarandy",Cynical
48,Taylor Swift,Cruel Summer
49,Tyler ICU & Tumelo.za,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
50,Adele,Set Fire to the Rain
51,Calvin Harris & Ellie Goulding,Miracle
52,FIFTY FIFTY,Cupid (Twin Ver.)
53,Beastie Boys,No Sleep Till Brooklyn
54,Marshmello & Manuel Turizo,El Merengue
55,BENNETT,Vois sur ton chemin (Techno Mix)
56,A.V.G,Я плачу
57,Peta Teanet,African Vibe PT 2
58,Tears for Fears,Everybody Wants To Rule The World
59,Miley Cyrus,Jaded
60,Redbone,Come and Get Your Love
